occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
25-1112,"Law Teachers, Postsecondary",0.0,0.775,0.75,142440.0,14570.0,3.72,1.6400000000000001,3.9933333333333336,9.96970302969703,0.04425161099429968,0.0,25,0,0.009594728587754352,0.0,11.866676137391714,0.775,0.0,0.0
25-1113,"Social Work Teachers, Postsecondary",0.0,0.6818181818181819,0.7272727272727273,80840.0,11730.0,4.58,1.8725,4.239999999999999,10.123012301230123,0.049357566109026564,0.0,25,0,0.007724513818418569,0.0,11.300227171517557,0.6818181818181819,0.0,0.0
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.2142,0.75,0.8125,100840.0,101500.0,3.9,1.9825000000000002,4.1066666666666665,8.638263826382637,0.06127146137672269,0.0,25,0,0.06684042221393732,1.0,11.521290381301856,0.5358,0.0,0.0
25-1122,"Communications Teachers, Postsecondary",0.2111,0.7250000000000001,0.8250000000000001,90950.0,28520.0,4.42,1.71,3.9966666666666675,8.962796279627964,0.0,0.0,25,0,0.01878117085262554,1.0,11.418065183946268,0.5139,0.0,0.0
25-1123,"English Language and Literature Teachers, Postsecondary",0.3618,0.8035714285714285,0.7857142857142857,87090.0,57600.0,4.11,1.7175,3.97,9.104210421042104,0.2443003139507788,0.0,25,0,0.03793111644850039,1.0,11.374697345686785,0.4417714285714285,0.0,0.0
25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.2403,0.8,0.8444444444444444,88490.0,20820.0,4.27,1.64,3.3299999999999996,10.0278,0.39708620161452973,0.0,25,0,0.013710518132947536,1.0,11.390644830261396,0.5597000000000001,0.0,0.0
25-1125,"History Teachers, Postsecondary",0.0994,0.8,0.8222222222222223,93120.0,20610.0,3.85,1.735,3.723333333333334,10.0892,0.061926071006815804,0.0,25,0,0.013572227604229044,1.0,11.441644262965264,0.7006,0.0,0.0
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.2197,0.7727272727272727,0.8181818181818182,89680.0,20320.0,4.06,1.5175,3.676666666666667,10.720772077207721,0.025660697499652954,0.0,25,0,0.013381254969332082,1.0,11.404003057746042,0.5530272727272727,0.0,0.0
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",0.0,0.875,0.9,89630.0,2660.0,3.95,1.7174999999999998,4.213333333333334,9.1935,0.01413956801001286,0.0,25,0,0.0017516800304342194,0.0,11.403445364351407,0.875,0.0,0.0
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.1138,0.8372093023255813,0.8604651162790697,87340.0,13270.0,3.96,2.29,4.383333333333333,10.124,0.17399523967877023,0.0,25,0,0.00873864436235417,1.0,11.377563827039552,0.7234093023255813,0.0,0.0
